table_name,foreign_key_column,referenced_table,referenced_column
tb_cds_aval_elegibilidade,co_raca_cor,tb_raca_cor,co_raca_cor
tb_cds_aval_elegibilidade,co_localidade_cidadao_nasc,tb_localidade,co_localidade
tb_cds_aval_elegibilidade,co_etnia,tb_etnia,co_etnia
tb_cds_aval_elegibilidade,co_ad_modalidade,tb_ad_modalidade,co_seq_ad_modalidade
tb_cds_aval_elegibilidade,co_ad_procedencia,tb_ad_origem,co_ad_origem
tb_cds_aval_elegibilidade,co_cds_prof_cadastrante,tb_cds_prof,co_seq_cds_prof
tb_cds_aval_elegibilidade,co_nacionalidade,tb_nacionalidade,co_nacionalidade
tb_cds_aval_elegibilidade,tp_cds_cuidador,tb_cds_tipo_cuidador,co_cds_tipo_cuidador
tb_cds_aval_elegibilidade,co_cid10_terceiro,tb_cid10,co_cid10
tb_cds_cad_domiciliar,tp_logradouro,tb_tipo_logradouro,co_tipo_logradouro
tb_cds_cad_domiciliar,co_cds_prof_cadastrante,tb_cds_prof,co_seq_cds_prof
tb_cds_cad_domiciliar,co_localidade_origem,tb_localidade,co_localidade
tb_cds_cad_domiciliar,co_uf,tb_uf,co_uf
tb_cds_cad_domiciliar,co_municipio,tb_localidade,co_localidade
tb_cds_cad_domiciliar,tp_cds_imovel,tb_cds_tipo_imovel,co_cds_tipo_imovel
tb_cds_cad_individual,co_etnia,tb_etnia,co_etnia
tb_cds_cad_individual,co_unidade_saude,tb_unidade_saude,co_seq_unidade_saude
tb_cds_cad_individual,co_nacionalidade,tb_nacionalidade,co_nacionalidade
tb_cds_cad_individual,co_localidade_origem,tb_localidade,co_localidade
tb_cds_cad_individual,co_cbo,tb_cbo,co_cbo
tb_cds_cad_individual,co_sexo,tb_sexo,co_sexo
tb_cds_cad_individual,co_municipio,tb_localidade,co_localidade
tb_cds_cad_individual,co_cds_prof_cadastrante,tb_cds_prof,co_seq_cds_prof
tb_cds_cad_individual,co_raca_cor,tb_raca_cor,co_raca_cor
tb_cds_cad_individual,co_pais,tb_pais,co_pais
tb_cds_cidadao_resposta,co_pergunta_detalhe,tb_pergunta_detalhe,co_pergunta_detalhe
tb_cds_cidadao_resposta,co_pergunta,tb_pergunta,co_seq_pergunta
tb_cds_cidadao_resposta,co_cds_cad_individual,tb_cds_cad_individual,co_seq_cds_cad_individual
tb_cds_domicilio,co_municipio,tb_localidade,co_localidade
